tract_name,median_household_income,state_fips,county_fips,tract_code,year
Census Tract 22; Erie County; Pennsylvania,73523,42,049,002200,2023
Census Tract 23; Erie County; Pennsylvania,35692,42,049,002300,2023
Census Tract 24; Erie County; Pennsylvania,50625,42,049,002400,2023
Census Tract 25; Erie County; Pennsylvania,46033,42,049,002500,2023
Census Tract 26; Erie County; Pennsylvania,53639,42,049,002600,2023
Census Tract 27; Erie County; Pennsylvania,57292,42,049,002700,2023
Census Tract 28; Erie County; Pennsylvania,61438,42,049,002800,2023
Census Tract 29; Erie County; Pennsylvania,95395,42,049,002900,2023
Census Tract 30; Erie County; Pennsylvania,54120,42,049,003000,2023
Census Tract 101.01; Erie County; Pennsylvania,81296,42,049,010101,2023
Census Tract 101.03; Erie County; Pennsylvania,73750,42,049,010103,2023
Census Tract 101.04; Erie County; Pennsylvania,81250,42,049,010104,2023
Census Tract 101.07; Erie County; Pennsylvania,54083,42,049,010107,2023
Census Tract 101.08; Erie County; Pennsylvania,,42,049,010108,2023
Census Tract 102.01; Erie County; Pennsylvania,74886,42,049,010201,2023
Census Tract 102.02; Erie County; Pennsylvania,77627,42,049,010202,2023
Census Tract 103.01; Erie County; Pennsylvania,86544,42,049,010301,2023
Census Tract 103.03; Erie County; Pennsylvania,95440,42,049,010303,2023
Census Tract 103.04; Erie County; Pennsylvania,114250,42,049,010304,2023
Census Tract 104; Erie County; Pennsylvania,85223,42,049,010400,2023
Census Tract 105; Erie County; Pennsylvania,64762,42,049,010500,2023
Census Tract 107; Erie County; Pennsylvania,76602,42,049,010700,2023
Census Tract 108; Erie County; Pennsylvania,73925,42,049,010800,2023
Census Tract 109.02; Erie County; Pennsylvania,70142,42,049,010902,2023
Census Tract 109.03; Erie County; Pennsylvania,91955,42,049,010903,2023
Census Tract 109.04; Erie County; Pennsylvania,155474,42,049,010904,2023
Census Tract 110.01; Erie County; Pennsylvania,61838,42,049,011001,2023
Census Tract 110.02; Erie County; Pennsylvania,47772,42,049,011002,2023
Census Tract 111.01; Erie County; Pennsylvania,75396,42,049,011101,2023
Census Tract 111.02; Erie County; Pennsylvania,82456,42,049,011102,2023
Census Tract 112.01; Erie County; Pennsylvania,78042,42,049,011201,2023
Census Tract 112.02; Erie County; Pennsylvania,70542,42,049,011202,2023
Census Tract 113; Erie County; Pennsylvania,46506,42,049,011300,2023
Census Tract 114; Erie County; Pennsylvania,71281,42,049,011400,2023
Census Tract 115.03; Erie County; Pennsylvania,81571,42,049,011503,2023
Census Tract 115.08; Erie County; Pennsylvania,91719,42,049,011508,2023
Census Tract 115.09; Erie County; Pennsylvania,65960,42,049,011509,2023
Census Tract 115.10; Erie County; Pennsylvania,81250,42,049,011510,2023
Census Tract 115.11; Erie County; Pennsylvania,,42,049,011511,2023
Census Tract 116; Erie County; Pennsylvania,67469,42,049,011600,2023
Census Tract 117.01; Erie County; Pennsylvania,74223,42,049,011701,2023
Census Tract 117.02; Erie County; Pennsylvania,84539,42,049,011702,2023
Census Tract 118.01; Erie County; Pennsylvania,68750,42,049,011801,2023
Census Tract 118.02; Erie County; Pennsylvania,70966,42,049,011802,2023
Census Tract 119; Erie County; Pennsylvania,45081,42,049,011900,2023
Census Tract 120.01; Erie County; Pennsylvania,77885,42,049,012001,2023
Census Tract 120.02; Erie County; Pennsylvania,42754,42,049,012002,2023
Census Tract 121; Erie County; Pennsylvania,71865,42,049,012100,2023
Census Tract 122.01; Erie County; Pennsylvania,81250,42,049,012201,2023
Census Tract 122.02; Erie County; Pennsylvania,40862,42,049,012202,2023
Census Tract 124; Erie County; Pennsylvania,60278,42,049,012400,2023
