name,address,category,tier,lat,lon,color_r,color_g,color_b,osm_id,osm_type,shop_tag,brand,opening_hours,geocode_source,already_in_app
Rusty Wheel,"10651, West Main Street, North East, PA, 16428",Convenience & Fuel,convenience,42.2099525,-79.850547,156,163,175,8187992839,node,convenience,,,openstreetmap,False
S&A,"2690, Cherry Street, Erie, PA, 16508",Convenience & Fuel,convenience,42.1046945,-80.0856238,156,163,175,8512213152,node,convenience,,,openstreetmap,False
Sam's Club,"200, Summit Towne Center, Erie, PA, 16509",Big Box,bigbox,42.0510204,-80.0935065,139,92,246,7570776289,node,wholesale,Sam's Club,Mo-Fr 10:00-20:00; Sa 09:00-20:00; Su 10:00-18:00,openstreetmap,False
Samir's Convenience Store,"1010, State Street, Erie, PA, 16501",Convenience & Fuel,convenience,42.1250623,-80.0827098,156,163,175,7717277664,node,convenience,,,openstreetmap,False
Sander's Markets,"109, West Main Street, North East, PA, 16428",Full-Service,standard,42.2129264,-79.8415382,59,130,246,7734134686,node,supermarket,,,openstreetmap,False
Save-A-Lot,"2026, Broad Street, Erie, PA, 16503",Value & Discount,value,42.1266299,-80.0456548,251,191,36,3382328227,node,supermarket,Save-A-Lot,,openstreetmap,False
Save-A-Lot,"2209, West 12th Street, Erie, PA, 16505",Value & Discount,value,42.1034777,-80.1303467,251,191,36,7564215763,node,supermarket,Save-A-Lot,,openstreetmap,False
Save-A-Lot,"18967, Park Avenue Plaza, Meadville, PA, 16335",Value & Discount,value,41.62236,-80.1623199,251,191,36,7857845498,node,supermarket,Save-A-Lot,,openstreetmap,False
Serafin's Food Market,"601, East 24th Street, Erie, PA, 16503",Full-Service,specialty,42.1183717,-80.0613164,16,185,129,8540835178,node,supermarket,,,openstreetmap,False
Sham Market,"760, East 12th Street, Erie, PA, 16503",Full-Service,standard,42.1301529,-80.0638794,59,130,246,7581148993,node,supermarket,,,openstreetmap,False
Shell,"7484, West Ridge Road, Fairview, PA, 16415",Convenience & Fuel,convenience,42.0319597,-80.2554124,156,163,175,2060537409,node,convenience,Shell,,openstreetmap,False
Shell,"605, Parade Street, Erie, PA, 16503",Convenience & Fuel,convenience,42.1324538,-80.0760131,156,163,175,7609658483,node,convenience,Shell,,openstreetmap,False
Shell,"1502, Greengarden Boulevard, Erie, PA, 16501",Convenience & Fuel,convenience,42.107822,-80.115057,156,163,175,8016697986,node,convenience,Shell,,openstreetmap,False
Shur-Fine,"6992, Buffalo Road, Harborcreek, PA, 16421",Full-Service,standard,42.171603,-79.9481963,59,130,246,7566365998,node,supermarket,,,openstreetmap,False
