tract_code,county_fips,year,NAME,total_population,median_age,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,white_non_hispanic,black_alone,hispanic_latino,asian_alone,race_total
010107,049,2020,"Census Tract 101.07, Erie County, Pennsylvania",1342,46.5,94.4,1.3,2.4,1.0,0.9,1267,17,32,13,1342
010108,049,2020,"Census Tract 101.08, Erie County, Pennsylvania",2455,39.8,46.4,46.8,5.4,0.0,1.4,1139,1149,133,0,2455
010201,049,2020,"Census Tract 102.01, Erie County, Pennsylvania",5901,38.8,86.2,1.9,8.9,0.0,3.0,5084,114,523,0,5901
010202,049,2020,"Census Tract 102.02, Erie County, Pennsylvania",5280,47.7,97.5,0.0,2.0,0.0,0.5,5148,0,104,0,5280
010301,049,2020,"Census Tract 103.01, Erie County, Pennsylvania",4807,43.0,94.7,0.4,0.4,0.0,4.5,4551,17,17,0,4807
010303,049,2020,"Census Tract 103.03, Erie County, Pennsylvania",5300,44.2,92.7,1.0,3.2,0.4,2.7,4914,51,172,21,5300
010304,049,2020,"Census Tract 103.04, Erie County, Pennsylvania",4782,42.5,95.4,0.5,2.4,0.4,1.3,4564,23,113,18,4782
010400,049,2020,"Census Tract 104, Erie County, Pennsylvania",4809,49.3,96.5,0.0,0.3,1.2,2.0,4643,0,15,57,4809
010500,049,2020,"Census Tract 105, Erie County, Pennsylvania",3370,52.2,94.5,5.0,0.0,0.5,0.0,3183,169,0,18,3370
010700,049,2020,"Census Tract 107, Erie County, Pennsylvania",4120,37.5,86.2,5.6,1.5,1.4,5.3,3550,229,60,56,4120
010800,049,2020,"Census Tract 108, Erie County, Pennsylvania",3173,45.8,95.8,0.0,2.9,0.6,0.7,3041,0,92,19,3173
010902,049,2020,"Census Tract 109.02, Erie County, Pennsylvania",3969,49.7,93.1,1.6,1.2,1.7,2.4,3695,62,48,66,3969
010903,049,2020,"Census Tract 109.03, Erie County, Pennsylvania",6898,39.9,95.1,1.7,1.6,0.8,0.8,6561,117,109,54,6898
010904,049,2020,"Census Tract 109.04, Erie County, Pennsylvania",5481,46.8,93.8,1.0,0.7,3.2,1.3,5141,54,41,173,5481
011001,049,2020,"Census Tract 110.01, Erie County, Pennsylvania",6552,43.1,86.4,3.9,1.7,3.9,4.1,5663,258,112,256,6552
011002,049,2020,"Census Tract 110.02, Erie County, Pennsylvania",4443,40.6,86.1,1.3,2.6,6.3,3.7,3824,57,116,278,4443
