tract_code,year,food_insecurity_rate,food_insecure_persons,unemployment_rate,percent_black,percent_hispanic,homeownership_rate,disability_rate
010107,2023,15.5,200.0,4.8,2.4,0.9,66.2,19.1
010108,2020,,,5.9,47.7,5.4,64.7,13.4
010108,2021,,,6.0,47.0,4.5,65.0,13.4
010108,2022,,,,47.1,4.4,,
010108,2023,,,,43.7,4.4,,
010201,2020,8.3,490.0,2.9,5.1,8.9,67.2,14.6
010201,2021,8.8,530.0,4.3,5.0,9.4,63.9,14.3
010201,2022,11.7,690.0,4.6,5.3,9.0,69.1,15.7
010201,2023,13.9,820.0,6.3,5.3,4.1,72.3,18.3
010202,2020,7.8,410.0,4.4,0.5,2.0,84.6,12.6
010202,2021,8.5,450.0,3.5,0.5,1.1,84.8,13.9
010202,2022,10.4,550.0,2.6,0.6,1.6,87.2,14.3
010202,2023,10.4,550.0,3.1,0.5,1.4,89.2,14.6
010301,2020,7.3,350.0,5.1,5.0,0.4,86.9,14.3
010301,2021,8.1,400.0,6.8,3.1,0.0,85.9,13.4
010301,2022,11.9,580.0,7.3,3.1,0.0,85.3,15.0
010301,2023,11.3,550.0,6.6,1.9,0.1,89.1,14.4
010303,2020,5.3,280.0,5.6,6.5,3.2,88.8,13.5
010303,2021,6.4,370.0,5.5,6.0,2.8,86.2,12.0
010303,2022,8.7,500.0,6.1,4.6,4.0,86.5,8.6
010303,2023,10.3,610.0,6.2,0.2,1.4,85.5,7.8
010304,2020,2.3,110.0,2.8,0.7,2.4,96.6,9.1
010304,2021,3.0,150.0,3.4,0.8,3.0,95.4,8.0
010304,2022,7.5,410.0,5.4,0.5,2.8,95.7,7.7
010304,2023,8.1,430.0,5.5,0.5,2.0,96.3,6.9
010400,2020,6.7,320.0,2.6,0.4,0.3,85.5,10.0
010400,2021,6.9,340.0,4.3,0.2,0.4,86.9,8.9
010400,2022,10.6,510.0,4.1,0.5,3.5,88.7,10.2
010400,2023,10.9,480.0,3.2,0.6,5.2,88.4,11.9
010500,2020,11.1,370.0,8.3,5.0,0.0,68.8,13.6
010500,2021,11.8,440.0,10.3,3.6,0.7,68.4,9.9
010500,2022,13.1,510.0,8.1,1.3,0.4,72.8,8.1
010500,2023,14.9,570.0,8.5,1.4,1.8,66.4,9.4
010700,2020,6.9,280.0,5.2,7.5,1.5,66.3,10.3
010700,2021,5.7,240.0,3.9,3.1,2.1,70.0,10.5
010700,2022,9.9,430.0,3.5,3.2,1.3,70.0,10.4
010700,2023,11.3,470.0,4.3,2.7,1.5,71.0,9.0
010800,2020,8.7,280.0,2.3,2.2,2.9,78.1,20.4
010800,2021,8.7,300.0,3.3,3.1,2.6,76.4,17.2
010800,2022,12.9,430.0,3.9,3.3,1.5,79.9,19.2
010800,2023,13.1,440.0,4.0,4.5,1.8,79.2,18.1
010902,2020,7.0,280.0,2.5,2.6,1.2,74.6,15.6
010902,2021,8.3,330.0,4.2,2.3,1.7,71.1,15.3
010902,2022,12.1,480.0,5.0,2.8,1.5,70.6,15.3
010902,2023,13.7,550.0,4.9,2.7,2.0,69.9,16.5
010903,2020,4.7,330.0,1.6,2.7,1.6,69.5,10.5
010903,2021,5.5,390.0,1.2,2.5,1.5,71.1,11.1
010903,2022,8.6,600.0,1.2,2.9,1.6,69.9,10.9
010903,2023,11.1,800.0,1.2,3.6,2.8,64.4,12.6
010904,2020,1.4,80.0,2.4,1.0,0.7,95.6,5.9
010904,2021,1.9,110.0,2.6,1.0,0.9,96.3,5.4
010904,2022,5.2,290.0,2.4,1.1,0.3,96.6,5.6
010904,2023,6.0,330.0,2.3,1.6,0.3,97.3,6.4
011001,2020,6.7,440.0,3.9,6.1,1.7,72.5,11.6
011001,2021,6.4,440.0,4.0,3.7,1.1,75.9,11.4
011001,2022,9.4,640.0,3.4,8.9,0.0,72.9,13.5
011001,2023,10.2,720.0,1.4,9.3,0.0,71.4,15.8
011002,2020,12.6,560.0,5.1,3.9,2.6,40.5,20.1
011002,2021,11.6,500.0,1.7,1.1,2.8,42.3,17.2
011002,2022,12.7,550.0,2.3,7.5,2.2,42.6,17.9
011002,2023,14.8,610.0,2.8,10.3,3.8,48.8,18.8
011101,2020,6.1,330.0,4.0,2.6,1.2,63.3,7.7
011101,2021,8.3,440.0,4.9,9.2,3.0,59.9,7.4
