stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,daily_visits,first_service,last_service
917,917,Peach St at W 7th St,,42.1277694702,-80.085709,,,0,,0,564,5:46 AM,12:25 PM
919,919,State St at Community Health Net,,42.123134613,-80.081184,,,0,,0,374,4:37 AM,11:07 PM
92,92,Greengarden at W 16th St,,42.1084747314,-80.114883,,,0,,0,58,5:06 AM,11:31 PM
920,920,State St at W 11th St NW CORNER,,42.1245765686,-80.082169,,,0,,0,35,6:31 AM,8:16 PM
921,921,State St at W 14th St,,42.1219215393,-80.080391,,,0,,0,304,4:38 AM,11:07 PM
922,922,Dobbins Landing,,42.1369972229,-80.090141,,,0,,0,12,6:49 AM,5:29 PM
923,923,E 4th St at French St,,42.1318359375,-80.085281,,,0,,0,245,5:33 AM,10:58 PM
925,925,E 6th St at French St,,42.1300697327,-80.083801,,,0,,0,67,6:24 AM,11:45 PM
926,926,E 6th St at German St,,42.1318130493,-80.079079,,,0,,0,67,6:22 AM,11:43 PM
927,927,E 6th St at German St,,42.1316184998,-80.079185,,,0,,0,67,5:52 AM,10:53 PM
928,928,E 6th St at Parade St,,42.1324996948,-80.07679,,,0,,0,67,5:52 AM,10:53 PM
929,929,E 6th St at Parade St,,42.1327400208,-80.076569,,,0,,0,67,6:22 AM,11:42 PM
93,93,W 16th St at Lincoln Ave,,42.1069564819,-80.117577,,,0,,0,58,5:07 AM,11:32 PM
930,930,E 6th St at Wallace St,,42.1333847046,-80.074387,,,0,,0,67,5:53 AM,10:54 PM
931,931,E 6th St at Wallace St,,42.1335792542,-80.07428,,,0,,0,67,6:21 AM,11:42 PM
932,932,E 6th St at Ash St,,42.1344146729,-80.072029,,,0,,0,67,6:20 AM,11:41 PM
933,933,E 6th St at Ash St,,42.1342010498,-80.072136,,,0,,0,67,5:54 AM,10:55 PM
934,934,E 6th St at Reed St,,42.1350402832,-80.069893,,,0,,0,65,5:54 AM,10:55 PM
935,935,E 6th St at Reed St,,42.1352157593,-80.069801,,,0,,0,2,10:15 AM,12:50 PM
936,936,E 6th St at Wayne St (Bus Shelter),,42.1360626221,-80.067589,,,0,,0,67,6:19 AM,11:39 PM
937,937,E 6th St at Wayne St,,42.135799408,-80.06768,,,0,,0,67,5:55 AM,10:56 PM
938,938,E 6th St at East Ave,,42.1377868652,-80.063286,,,0,,0,67,5:56 AM,10:57 PM
939,939,E Lake Rd at East Ave,,42.1381874084,-80.062988,,,0,,0,2,10:14 AM,12:49 PM
94,94,W 16th St at Kahkwa,,42.1059608459,-80.119438,,,0,,0,58,5:08 AM,11:33 PM
940,940,E Lake Rd at Pennsylvania Ave,,42.1388702393,-80.061111,,,0,,0,67,6:17 AM,11:37 PM
941,941,E Lake Rd at Pennsylvania Ave,,42.1386909485,-80.061226,,,0,,0,67,5:56 AM,10:57 PM
