geoid,county,year,NAME,total_households,under_10k,10k_15k,15k_20k,20k_25k,25k_30k,30k_35k,35k_40k,40k_45k,45k_50k,50k_60k,60k_75k,75k_100k,100k_125k,125k_150k,150k_200k,200k_plus
42049001000,Erie,2019,"Census Tract 10, Erie County, Pennsylvania",1562,108,39,165,119,69,216,89,87,93,121,231,167,30,20,0,8
42049001000,Erie,2020,"Census Tract 10, Erie County, Pennsylvania",1403,110,37,211,146,57,135,80,115,55,106,189,119,26,17,0,0
42049001000,Erie,2021,"Census Tract 10, Erie County, Pennsylvania",1419,61,65,196,126,172,80,121,101,62,66,122,122,96,24,5,0
42049001000,Erie,2022,Census Tract 10; Erie County; Pennsylvania,1483,81,45,124,148,200,41,146,34,100,57,131,177,137,32,16,14
42049001000,Erie,2023,Census Tract 10; Erie County; Pennsylvania,1445,101,0,138,97,176,134,52,26,110,65,183,160,90,64,17,32
42049001100,Erie,2019,"Census Tract 11, Erie County, Pennsylvania",1120,30,81,60,123,44,101,87,34,41,92,225,118,62,7,9,6
42049001100,Erie,2020,"Census Tract 11, Erie County, Pennsylvania",1154,61,74,56,104,17,147,71,57,80,68,229,107,52,12,7,12
42049001100,Erie,2021,"Census Tract 11, Erie County, Pennsylvania",1172,73,48,30,57,29,106,67,99,78,93,228,112,55,63,16,18
42049001100,Erie,2022,Census Tract 11; Erie County; Pennsylvania,1220,109,32,35,32,174,10,111,60,35,103,170,207,66,49,17,10
42049001100,Erie,2023,Census Tract 11; Erie County; Pennsylvania,1294,155,7,22,34,156,95,73,41,111,130,120,210,84,3,32,21
42049001200,Erie,2019,"Census Tract 12, Erie County, Pennsylvania",843,238,163,46,33,45,41,5,6,61,51,89,40,6,0,19,0
42049001200,Erie,2020,"Census Tract 12, Erie County, Pennsylvania",1013,204,129,172,95,32,128,0,38,32,46,75,54,0,0,8,0
42049001200,Erie,2021,"Census Tract 12, Erie County, Pennsylvania",1086,149,136,57,246,26,89,32,51,43,39,112,72,0,0,26,8
42049001200,Erie,2022,Census Tract 12; Erie County; Pennsylvania,993,81,150,75,217,14,25,111,4,45,94,109,52,0,11,0,5
42049001200,Erie,2023,Census Tract 12; Erie County; Pennsylvania,1101,26,139,106,311,29,69,94,43,26,56,45,107,31,0,12,7
42049001300,Erie,2019,"Census Tract 13, Erie County, Pennsylvania",616,157,57,72,77,39,29,50,0,30,30,25,28,22,0,0,0
42049001300,Erie,2020,"Census Tract 13, Erie County, Pennsylvania",604,132,64,76,59,47,93,15,0,24,21,15,27,31,0,0,0
42049001300,Erie,2021,"Census Tract 13, Erie County, Pennsylvania",583,92,93,77,58,40,80,6,10,3,26,14,46,38,0,0,0
42049001300,Erie,2022,Census Tract 13; Erie County; Pennsylvania,632,54,134,88,47,76,76,11,3,0,16,24,64,9,30,0,0
42049001300,Erie,2023,Census Tract 13; Erie County; Pennsylvania,607,60,43,110,91,80,24,70,0,6,11,36,36,30,10,0,0
42049001400,Erie,2019,"Census Tract 14, Erie County, Pennsylvania",492,50,99,45,24,79,35,36,24,0,27,30,16,0,9,9,9
42049001400,Erie,2020,"Census Tract 14, Erie County, Pennsylvania",637,188,99,18,61,73,16,40,24,7,27,23,36,0,6,9,10
42049001400,Erie,2021,"Census Tract 14, Erie County, Pennsylvania",566,192,89,28,59,67,26,32,27,5,13,5,10,0,0,1,12
42049001400,Erie,2022,Census Tract 14; Erie County; Pennsylvania,571,193,74,24,95,79,23,15,25,10,11,14,1,5,0,2,0
42049001400,Erie,2023,Census Tract 14; Erie County; Pennsylvania,609,246,43,27,58,118,14,0,45,14,15,12,10,7,0,0,0
42049001500,Erie,2019,"Census Tract 15, Erie County, Pennsylvania",1012,247,57,116,89,46,106,63,40,115,19,58,39,8,2,0,7
