ZCTA5CE20,zcta,year,area_name,county_name,median_household_income,total_population,median_age,state,poverty_rate,bachelors_rate,rent_burden_rate,no_vehicle_rate,pct_white_non_hispanic,pct_black,pct_hispanic,pct_asian,pct_other,unemployment_rate,homeownership_rate,snap_participation_rate
16373,16373,2020,Emlenton,Clarion,57000.0,3172,44.9,PA,11.1,12.1,14.4,10.1,95.8,1.5,0.9,0.7,1.1,3.9,80.8,11.5
16374,16374,2020,Kennerdell,Venango,43250.0,1776,53.0,PA,14.4,11.3,6.2,5.5,97.4,0.0,0.8,0.0,1.8,2.9,84.1,16.2
16401,16401,2020,Albion,Crawford,51470.0,6431,43.7,PA,11.9,6.8,26.7,6.6,76.8,18.4,3.4,0.2,1.2,4.6,77.1,18.5
16402,16402,2020,Bear Lake,Warren,60500.0,836,45.6,PA,16.5,8.3,29.6,9.2,98.9,0.0,0.0,0.0,1.1,5.2,91.7,11.3
16403,16403,2020,Cambridge Springs,Crawford,58203.0,7278,39.6,PA,9.6,14.8,10.0,5.2,92.4,3.0,2.7,0.4,1.5,4.8,79.4,18.2
16404,16404,2020,Centerville,Crawford,52500.0,3286,44.6,PA,20.4,7.1,14.0,6.0,91.3,0.1,0.7,0.3,7.6,8.3,81.8,19.8
16405,16405,2020,Columbus,Warren,65000.0,771,45.6,PA,8.2,5.7,0.0,1.3,91.7,0.6,0.0,0.9,6.8,5.1,87.0,8.4
16406,16406,2020,Conneautville,Crawford,55445.0,3294,42.0,PA,12.3,11.0,21.7,6.5,97.6,0.9,0.7,0.0,0.8,8.2,81.5,15.6
16407,16407,2020,Corry,Crawford,45717.0,10816,44.5,PA,16.6,14.1,21.1,9.7,91.4,2.4,1.7,0.1,4.4,6.3,72.4,22.1
16410,16410,2020,Cranesville,Erie,80708.0,2087,47.4,PA,8.1,15.4,5.4,0.7,96.5,0.9,1.2,0.2,1.2,4.0,94.9,6.9
16411,16411,2020,East Springfield,Erie,75571.0,1390,45.6,PA,13.9,8.9,0.0,3.4,92.4,0.0,1.0,0.0,6.6,8.3,81.5,7.7
