agency_name,agency_ref,county,program_type,first_month,last_month,total_individuals_served,months_reported
Fairview High School - SCHOOL PANTRY,09784,Erie,School Pantry,2024-10-31,2025-05-31,0.0,8
Fairview Middle School  - SCHOOL PANTRY,09783,Erie,School Pantry,2024-10-31,2025-05-31,0.0,8
Fairview Presbyterian - FP,01527,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,2903.0,12
Federated Church - FP,06021,Erie,Produce Express,2024-07-31,2025-06-30,1785.0,11
First Alliance Church - FP,01544,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,900.0,12
Gannon University,01820,Erie,Food Pantry/No TEFAP,2025-03-31,2025-06-30,390.0,4
Girard High School - SCHOOL PANTRY,09782,Erie,School Pantry,2024-10-31,2025-05-31,0.0,8
Glenwood Methodist Church,01656,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,2496.0,12
Harborcreek Youth Services - O.S.N.E.-YR,04058,Erie,Non-Emerg. Meal/Snack,2025-01-31,2025-01-31,55.0,1
Heavenly Pentecostal Mission - FP,01501,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,703.0,12
Home House of Erie - FP,01690,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,27687.0,12
Iroquois High School - SCHOOL PANTRY,09757,Erie,School Pantry,2024-07-31,2025-05-31,0.0,10
Islamic Association of Erie - FP,01782,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,28112.0,12
John F Kennedy Kids Cafe - SK,03505,Erie,Kids Cafe,2024-07-31,2025-06-30,2068.0,7
John Horan Garden Apartments - SHFB MOBILE,10708,Erie,Produce Express,2024-07-31,2025-05-31,2096.0,9
Kearsarge Area - FP,01071,Erie,Food Pantry/TEFAP,2024-07-31,2025-06-30,2302.0,12
