TRACTCE,count_grocery_supermarket,count_grocery_large,count_grocery_medium,count_grocery_small,count_grocery_combination,count_grocery_specialty,count_farmers_market,count_convenience,count_pharmacy,count_hospital,count_clinic,count_library,count_school,count_community_center,count_social_services,count_grocery_any,count_snap_retailers,count_total_civic,nearest_grocery_full_m,nearest_grocery_full_miles,nearest_pharmacy_m,nearest_pharmacy_miles,nearest_hospital_m,nearest_hospital_miles,nearest_clinic_m,nearest_clinic_miles,nearest_library_m,nearest_library_miles,nearest_community_center_m,nearest_community_center_miles,nearest_social_services_m,nearest_social_services_miles
011201,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,8,3317.5823422661465,2.06,10054.757692693793,6.25,10620.306122001655,6.6,9032.32709312164,5.61,7944.872845411268,4.94,8353.124966857593,5.19,8002.049634156152,4.97
011900,2,0,0,0,4,0,0,3,0,0,0,0,0,0,0,6,9,9,558.193833092503,0.35,12065.104018907838,7.5,32655.89317092523,20.29,12190.5793625416,7.57,17796.094625787977,11.06,12169.61281105931,7.56,32252.46371743582,20.04
011702,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,2,5,4470.730821343371,2.78,7219.810445458739,4.49,20264.658323642794,12.59,6805.415230159591,4.23,7347.456424186933,4.57,13031.793933617475,8.1,6818.864269369057,4.24
011801,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,7,3558.7028338870223,2.21,16818.948971177873,10.45,20204.255277605425,12.55,16541.079909650092,10.28,12267.769367673145,7.62,15233.25555653084,9.47,17816.06128615549,11.07
002100,0,0,0,0,1,0,0,3,0,0,1,0,1,0,2,1,4,12,721.335303150891,0.45,2506.4967826102697,1.56,2455.917190644469,1.53,593.8827253034234,0.37,941.2684179541222,0.58,1247.6422948335257,0.78,359.8738715089726,0.22
002200,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,7,640.6137945218636,0.4,1242.1730463620618,0.77,1902.1556231095808,1.18,617.4260718464196,0.38,1946.1260904630233,1.21,626.1571177280032,0.39,520.8053539013158,0.32
002400,0,0,0,0,0,0,0,4,0,0,13,0,1,0,0,0,4,25,862.1437798619015,0.54,900.0165638094207,0.56,586.5691432712405,0.36,239.58173103430576,0.15,2032.8259646078072,1.26,798.8650429334535,0.5,899.5939779361529,0.56
002600,0,0,0,0,1,0,0,1,0,0,1,0,2,0,2,1,2,12,440.49345385198865,0.27,941.6389855892663,0.59,1784.187370735581,1.11,699.0200145429247,0.43,1159.7904262985226,0.72,2055.8603127631004,1.28,476.9411030553084,0.3
002700,2,0,1,0,2,0,0,4,0,0,4,0,1,0,0,5,9,22,227.82710358534013,0.14,2123.4452303212042,1.32,3438.862455489041,2.14,65.87474234313322,0.04,2516.59286005639,1.56,1920.3242914820523,1.19,1992.1295304691264,1.24
002800,0,0,0,0,2,0,0,1,1,0,8,1,8,0,0,2,3,30,296.0989681992979,0.18,248.19262728651853,0.15,1083.6269701306544,0.67,190.53030710645854,0.12,160.06988480160962,0.1,2216.1246301659744,1.38,1142.5424647951652,0.71
110300,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,4,4,11,2305.6847406572833,1.43,22851.590342591247,14.2,24982.0501948334,15.52,11873.778154768703,7.38,12014.05094690229,7.47,11885.437716479939,7.39,11815.209685434796,7.34
